FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
205015|Continental Divide|Ridge|CO|08|Grand|049|390001N|1063550W|39.00027|-106.5972536|||||3915|12844|Independence Pass|10/13/1978|
371175|Big Jimmy Creek|Stream|ID|16|Caribou|029|425957N|1115932W|42.9990841|-111.9921857|425958N|1120256W|42.9993614|-112.0488544|1693|5554|Chesterfield Reservoir|06/21/1979|
371176|Catherine Creek|Stream|ID|16|Owyhee|073|430415N|1161658W|43.0707224|-116.2828834|430246N|1162335W|43.0459986|-116.3931657|742|2434|Castle Butte|06/21/1979|
371177|Cook-Koster Lateral|Canal|ID|16|Bonneville|019|433415N|1120049W|43.5707461|-112.0135818|||||1452|4764|Idaho Falls North|06/21/1979|
371178|Dairy Creek|Stream|ID|16|Camas|025|431547N|1145028W|43.2629558|-114.841173|431301N|1145831W|43.2168439|-114.9753438|1538|5046|Fairfield|06/21/1979|
371179|Guinn Canyon|Valley|ID|16|Cassia|031|423053N|1133045W|42.514632|-113.5125043|422933N|1132834W|42.4924102|-113.4761143|1342|4403|Rupert SE|06/21/1979|
371180|Portneuf Presto Trail|Trail|ID|16|Bingham|011|431148N|1120328W|43.196584|-112.0577464|||||1844|6050|Higham Peak|06/21/1979|
371181|Teakettle Butte|Summit|ID|16|Butte|023|432949N|1131017W|43.4968498|-113.171391|||||1642|5387|Quaking Aspen Butte|06/21/1979|
371182|A 1 Canal|Canal|ID|16|Minidoka|067|423624N|1133626W|42.6065757|-113.6072315|||||1268|4160|Rupert SE|06/21/1979|
371183|A Canal|Canal|ID|16|Jerome|053|423040N|1140643W|42.5110242|-114.1119728|||||1254|4114|Milner|06/21/1979|
