FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
205015|Continental Divide|Ridge|CO|08|Grand|049|390001N|1063550W|39.00027|-106.5972536|||||3915|12844|Independence Pass|10/13/1978|
371339|Bald Mountain|Summit|ID|16|Shoshone|079|472256N|1153719W|47.3821507|-115.6218209|||||1813|5948|Saltese|06/21/1979|
371605|Bloom Peak|Summit|ID|16|Shoshone|079|474518N|1154950W|47.7549263|-115.8304473|||||1787|5863|Bloom Peak|06/21/1979|
371621|Blue Nose|Summit|ID|16|Lemhi|059|452822N|1142131W|45.4726941|-114.3586977|||||2638|8655|Shoup|06/21/1979|
371650|Bottle Point|Summit|ID|16|Shoshone|079|475234N|1155608W|47.8760364|-115.9354505|||||1918|6293|Gem Peak|06/21/1979|
371788|Bullion Pass|Gap|ID|16|Shoshone|079|472426N|1154038W|47.4071514|-115.6771|||||1658|5440|Lookout Pass|06/21/1979|
371847|Cache Saddle|Gap|ID|16|Clearwater|035|464150N|1144517W|46.6971412|-114.7548403|||||2163|7096|Rhodes Peak|06/21/1979|
372232|Craddock Peak|Summit|ID|16|Shoshone|079|471654N|1152856W|47.2815921|-115.4820947|||||1917|6289|McGee Peak|06/21/1979|
372525|Eagle Cliff|Cliff|ID|16|Shoshone|079|470747N|1151112W|47.1296454|-115.1865285|||||2286|7500|Torino Peak|06/21/1979|
372601|Eightyseven Mile Peak|Summit|ID|16|Shoshone|079|474938N|1155108W|47.827149|-115.8521155|||||1710|5610|Bloom Peak|06/21/1979|
373205|Illinois Peak|Summit|ID|16|Shoshone|079|470135N|1150419W|47.0263097|-115.0720788|||||2339|7674|Illinois Peak|06/21/1979|
373269|Jack Waite Mine (historical)|Mine|ID|16|Shoshone|079|473952N|1154357W|47.6644336|-115.7323837|||||1672|5485|Black Peak|06/21/1979|05/23/2011
373600|Line Point|Summit|ID|16|Boundary|021|484556N|1160258W|48.7654995|-116.0493586|||||2021|6630|Line Point|06/21/1979|
373649|Little Joe Mountain|Summit|ID|16|Shoshone|079|470919N|1151454W|47.1552013|-115.2481975|||||2161|7090|Torino Peak|06/21/1979|
373734|Lookout Pass|Gap|ID|16|Shoshone|079|472716N|1154140W|47.4544425|-115.6945324|||||1431|4695|Lookout Pass|06/21/1979|02/06/2012
374078|Mullan Pass|Gap|ID|16|Shoshone|079|472751N|1153820W|47.4640979|-115.6387669|||||1568|5144|Lookout Pass|06/21/1979|
374139|Nez Perce Pass|Gap|ID|16|Idaho|049|454300N|1143007W|45.7165836|-114.5020368|||||1998|6555|Nez Perce Peak|06/21/1979|
374767|Roland Summit|Summit|ID|16|Shoshone|079|472311N|1153854W|47.3863175|-115.6482103|||||1661|5449|Lookout Pass|06/21/1979|
374871|Saint Paul Pass Tunnel|Tunnel|ID|16|Shoshone|079|472322N|1153900W|47.389373|-115.6498771|||||1574|5164|Lookout Pass|06/21/1979|
374967|Shale Mountain|Summit|ID|16|Clearwater|035|464250N|1144718W|46.7138077|-114.7884528|||||2308|7572|Rhodes Peak|06/21/1979|
375054|Skookum Butte|Summit|ID|16|Idaho|049|463953N|1142342W|46.6646442|-114.3951128|||||2205|7234|West Fork Butte|06/21/1979|
375492|Thompson Pass|Gap|ID|16|Shoshone|079|473438N|1154303W|47.5771532|-115.7173831|||||1479|4852|Thompson Pass|06/21/1979|
375727|Ward Cabin|Locale|ID|16|Shoshone|079|471559N|1152259W|47.2663149|-115.3829249|||||2218|7277|McGee Peak|06/21/1979|
375729|Ward Peak|Summit|ID|16|Shoshone|079|471559N|1152259W|47.2663149|-115.3829249|||||2218|7277|McGee Peak|06/21/1979|
376056|Clearwater National Forest|Forest|ID|16|Clearwater|035|463316N|1150913W|46.5543489|-115.1535291|||||1678|5505|Lookout Peak|12/31/1992|01/15/2013
376909|Baldy Mountain|Summit|ID|16|Clark|033|443405N|1115215W|44.5679708|-111.8708059|||||3008|9869|Slide Mountain|06/21/1979|
