FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
401|Aguaje Draw|Valley|AZ|04|Apache|001|343417N|1091313W|34.5714281|-109.2203696|344308N|1085826W|34.7188|-108.9739|1750|5741|Kearn Lake|02/08/1980|01/14/2008
435|San Simon River|Stream|AZ|04|Graham|009|324953N|1093857W|32.8314544|-109.649245|320000N|1090127W|32.0000893|-109.0242268|897|2943|Safford|02/08/1980|
665|Antelope Canyon|Valley|AZ|04|Greenlee|011|323028N|1090210W|32.5078545|-109.0361696|322555N|1090555W|32.4320214|-109.0986699|1254|4114|Round Mountain|02/08/1980|
960|Baker Canyon|Valley|AZ|04|Cochise|003|312048N|1090353W|31.346772|-109.0647765|312603N|1090222W|31.4342697|-109.0394991|1305|4281|Guadalupe Canyon|02/08/1980|
1261|Falling Iron Cliffs|Cliff|AZ|04|Apache|001|360947N|1090304W|36.1630617|-109.0512077|||||2730|8957|Upper Wheatfields|02/08/1980|
1448|Beclabito Wash|Stream|NM|35|San Juan|045|365422N|1085534W|36.9061086|-108.9262091|365044N|1090424W|36.8455547|-109.0734341|1438|4718|Sallies Spring|11/13/1980|
1500|Black Creek|Stream|AZ|04|Apache|001|351600N|1091402W|35.2666917|-109.2339842|355455N|1090150W|35.9152895|-109.0306499|1829|6001|Houck|02/08/1980|
1501|Black Creek Valley|Valley|AZ|04|Apache|001|353306N|1090531W|35.551687|-109.0920374|355455N|1090148W|35.9152895|-109.0300943|2013|6604|Hunters Point|02/08/1980|
1650|Blackrock Wash|Stream|AZ|04|Apache|001|364218N|1090039W|36.7049999|-109.0109301|364723N|1091020W|36.789722|-109.1723243|1638|5374|Horse Mesa|02/08/1980|
1668|Blanco Canyon|Valley|AZ|04|Apache|001|343330N|1091111W|34.5584|-109.18627|343941N|1085508W|34.661417|-108.918972|1762|5781|Kearn Lake|02/08/1980|11/03/2010
2850|China Camp Canyon|Valley|AZ|04|Greenlee|011|324919N|1091018W|32.8220126|-109.1717321|325210N|1085930W|32.8695141|-108.9917288|1097|3599|Sheldon|02/08/1980|
3306|Cottonwood Canyon|Valley|AZ|04|Apache|001|342532N|1090048W|34.4255994|-109.0134148|341500N|1090202W|34.25|-109.0338889|1925|6316|Mesa Parada|02/08/1980|
3334|Cottonwood Creek|Stream|AZ|04|Cochise|003|312143N|1091539W|31.3619444|-109.2608333|313056N|1090305W|31.5156564|-109.0514448|1153|3783|San Bernardino Ranch|02/08/1980|08/21/2009
3516|Coyote Wash|Stream|AZ|04|Greenlee|011|323755N|1090230W|32.6320183|-109.0417271|323257N|1090700W|32.5492413|-109.1167268|1238|4062|Duncan|02/08/1980|
3520|Coyote Wash|Stream|AZ|04|Apache|001|360632N|1090946W|36.1088952|-109.1628769|360452N|1090856W|36.0811111|-109.1488889|2158|7080|White Clay|02/08/1980|
3798|Deer Creek|Stream|AZ|04|Cochise|003|314116N|1090617W|31.6877778|-109.1047222|313712N|1090208W|31.6200989|-109.0356122|1325|4347|Skull Canyon|02/08/1980|08/21/2009
4499|Estes Canyon|Valley|AZ|04|Cochise|003|312818N|1090532W|31.4717682|-109.0922798|312803N|1090241W|31.4675|-109.0447222|1428|4685|Guadalupe Spring|02/08/1980|08/24/2009
5075|Goat Camp Canyon|Valley|AZ|04|Greenlee|011|324821N|1091014W|32.8059018|-109.1706208|325046N|1085953W|32.84621|-108.99817|1096|3596|Sheldon|02/08/1980|11/03/2010
5416|Guadalupe Canyon|Valley|AZ|04|Cochise|003|311957N|1090519W|31.3325|-109.0886111|312808N|1090221W|31.4688889|-109.0391667|1281|4203|Guadalupe Canyon|02/08/1980|08/20/2009
5970|Horse Mesa|Summit|AZ|04|Apache|001|364143N|1090244W|36.6952778|-109.0456532|||||1766|5794|Horse Mesa|02/08/1980|
5971|Horse Mesa Creek|Stream|AZ|04|Apache|001|364121N|1090221W|36.6891668|-109.0392641|364540N|1090848W|36.7611109|-109.1467674|1664|5459|Horse Mesa|02/08/1980|
6259|Iron Canyon|Valley|AZ|04|Greenlee|011|325249N|1090442W|32.8803462|-109.0783974|325216N|1085925W|32.8711807|-108.9903399|1335|4380|Tillie Hall Peak|02/08/1980|
6362|Jaralosa Draw|Valley|AZ|04|Apache|001|344747N|1091048W|34.7964247|-109.1800926|343812N|1083252W|34.6367109|-108.5478478|1775|5823|Ceadro Spring|02/08/1980|
8080|Millsite Canyon|Valley|AZ|04|Cochise|003|322322N|1090149W|32.3895229|-109.0303355|322245N|1090318W|32.3791667|-109.055|1400|4593|Engine Mountain|02/08/1980|
8890|Oak Spring Wash|Valley|AZ|04|Apache|001|364307N|1090018W|36.7186109|-109.0050966|364459N|1090302W|36.7497222|-109.0505556|1630|5348|Horse Mesa|02/08/1980|
8950|Old Horseshoe Canyon|Valley|AZ|04|Cochise|003|322402N|1090248W|32.4006337|-109.0467247|322325N|1090408W|32.3902778|-109.0688889|1404|4606|Engine Mountain|02/08/1980|
8984|Olney Well Draw|Valley|AZ|04|Greenlee|011|323225N|1090221W|32.5403537|-109.0392256|323031N|1090538W|32.5086111|-109.0938889|1230|4035|Round Mountain|02/08/1980|
9036|Outlet Neck|Ridge|AZ|04|Apache|001|355453N|1090303W|35.9147338|-109.0509282|||||2193|7195|Buell Park|02/08/1980|
9045|Owl Creek|Stream|AZ|04|Cochise|003|313953N|1090414W|31.6647222|-109.0705556|313932N|1090023W|31.6588889|-109.0063889|1375|4511|Skull Canyon|02/08/1980|08/25/2009
9481|Pine Springs Wash|Stream|AZ|04|Apache|001|344324N|1091508W|34.72337|-109.2523167|344326N|1090131W|34.7239281|-109.025364|1741|5712|Schnebly Well|02/08/1980|11/03/2010
9803|Puerco River|Stream|AZ|04|Navajo|017|345320N|1100717W|34.8889155|-110.121509|353433N|1081052W|35.5758566|-108.181179|1555|5102|Sun Valley|02/08/1980|03/22/2011
9911|Railroad Wash|Stream|AZ|04|Greenlee|011|324144N|1090410W|32.6956277|-109.0695064|322904N|1085912W|32.4845222|-108.9867243|1122|3681|Duncan|02/08/1980|
10081|Red Lake|Reservoir|AZ|04|Apache|001|355540N|1090223W|35.9277891|-109.0398169|||||2156|7073|Buell Park|02/08/1980|
10138|Red Rock Valley|Basin|AZ|04|Apache|001|364113N|1090326W|36.6869445|-109.0573201|||||1696|5564|Horse Mesa|02/08/1980|
10172|Red Valley|Valley|AZ|04|Apache|001|355456N|1090148W|35.9155673|-109.0300943|360115N|1090314W|36.0208422|-109.0539847|2159|7083|Buell Park|02/08/1980|
10173|Red Wash|Stream|NM|35|San Juan|045|365318N|1085432W|36.8882|-108.90876|362903N|1090357W|36.48417|-109.06575|1439|4721|Sallies Spring|02/08/1980|05/03/2011
10534|Round Mountain Draw|Valley|AZ|04|Greenlee|011|323441N|1090224W|32.5781307|-109.0400596|323022N|1091104W|32.5061857|-109.1845047|1201|3940|Round Mountain|02/08/1980|
10858|San Simon Valley|Valley|AZ|04|Graham|009|324806N|1093758W|32.8017327|-109.6328555|313936N|1091659W|31.66|-109.2830556|909|2982|Safford|02/08/1980|09/24/2009
10905|Sand Wash|Stream|AZ|04|Greenlee|011|324555N|1090922W|32.7653472|-109.1561757|324939N|1090112W|32.8275701|-109.0200624|1097|3599|Sheldon|02/08/1980|
11239|Shoe Game Wash|Stream|NM|35|San Juan|045|365532N|1085710W|36.925572|-108.952768|364808N|1090725W|36.8022217|-109.1237122|1430|4692|Sallies Spring|02/08/1980|06/28/2010
11397|Skeleton Canyon|Valley|AZ|04|Cochise|003|313539N|1090408W|31.5941667|-109.0688889|313320N|1085820W|31.5556561|-108.9722765|1422|4665|Skeleton Canyon|02/08/1980|08/20/2009
11432|Slick Rock Wash|Valley|AZ|04|Apache|001|354356N|1090404W|35.7322383|-109.0678714|354636N|1085641W|35.7766825|-108.9448131|2067|6781|Window Rock|02/08/1980|
11803|Stateline Dam|Dam|AZ|04|Greenlee|011|323146N|1090300W|32.5295204|-109.0500589|||||1244|4081|Round Mountain|02/08/1980|
12079|Sycamore Creek|Stream|AZ|04|Cochise|003|312633N|1090803W|31.442602|-109.1342241|312654N|1090231W|31.4484359|-109.0419993|1337|4386|Million Dollar Tank|02/08/1980|
12398|Thompson Draw|Valley|AZ|04|Greenlee|011|323706N|1090323W|32.6184072|-109.0564493|323622N|1085648W|32.606187|-108.9467252|1179|3868|Round Mountain|02/08/1980|
12550|Tohache Wash|Stream|AZ|04|Apache|001|370002N|1090139W|37.0005556|-109.0275|365523N|1090500W|36.9230542|-109.083436|1408|4619|Yellow Rock Point East|02/08/1980|06/15/2009
12758|Tse Bonito Wash|Arroyo|AZ|04|Apache|001|353759N|1090449W|35.633074|-109.080371|354309N|1085517W|35.719184|-108.9214787|2030|6660|Window Rock|02/08/1980|
13210|Venadito Draw|Valley|AZ|04|Apache|001|345139N|1090331W|34.860869|-109.0586992|345032N|1084610W|34.8422606|-108.7695243|1835|6020|Ceadro Spring SE|02/08/1980|
13567|Wheatfields Creek|Stream|AZ|04|Apache|001|360813N|1091128W|36.1369499|-109.1912111|361903N|1090025W|36.3175039|-109.0070403|1960|6430|Lower Wheatfields|02/08/1980|
13588|Whiskey Creek|Stream|AZ|04|Apache|001|360720N|1090929W|36.1222283|-109.1581546|361349N|1085634W|36.2302834|-108.9428717|2079|6821|White Clay|02/08/1980|06/28/2010
