FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
12522|Toh Dahstini Wash|Stream|CO|08|Montezuma|083|370035N|1090235W|37.0097198|-109.0431593|365528N|1091100W|36.9244436|-109.1834384|1410|4626|Yellow Rock Point East|10/13/1978|
12550|Tohache Wash|Stream|AZ|04|Apache|001|370002N|1090139W|37.0005556|-109.0275|365523N|1090500W|36.9230542|-109.083436|1408|4619|Yellow Rock Point East|02/08/1980|06/15/2009
21631|Four Corners|Park|AZ|04|Apache|001|365956N|1090242W|36.9988867|-109.0451034|||||1486|4875|Teec Nos Pos|06/27/1984|11/08/2010
78956|Arkansas River|Stream|AR|05|Desha|041|334630N|0910415W|33.7751096|-91.0709427|391530N|1062038W|39.2583225|-106.3439141|33|108|Rosedale|04/30/1980|
169341|Pinyon Creek|Stream|CO|08|Pueblo|101|382430N|1043602W|38.4083339|-104.6005282|382430N|1043602W|38.4083339|-104.6005282|1511|4957|Pinon|07/01/1990|04/01/2011
169342|Pinnacle Ridge|Ridge|CO|08|Gunnison|051|380900N|1073032W|38.1499932|-107.5089482|||||3702|12146|Courthouse Mountain|07/01/1990|
169344|Hidden Brook|Stream|CO|08|Boulder|013|401448N|1053208W|40.2466513|-105.5355555|401535N|1053357W|40.2596|-105.5658|2625|8612|Allenspark|08/01/1990|03/15/2007
169345|Wulsten Baldy|Summit|CO|08|Custer|027|381505N|1054417W|38.2513874|-105.7380624|||||3870|12697|Cotopaxi|08/01/1990|
169346|Barnes Ridge|Ridge|CO|08|Garfield|045|394330N|1080912W|39.7249748|-108.1534144|||||2383|7818|Cutoff Gulch|08/01/1990|
169347|V Rock|Cliff|CO|08|Archuleta|007|370728N|1064738W|37.1244538|-106.7939245|||||3140|10302|Chromo|08/01/1990|
169348|Rio Grande Palisades|Cliff|CO|08|Mineral|079|374330N|1064232W|37.7250033|-106.7089312|||||2526|8287|South Fork West|12/01/1989|
169349|C J Lateral|Canal|CO|08|Montrose|085|382724N|1075413W|38.4566535|-107.9036748|||||1775|5823|Montrose West|04/01/1990|
169350|Pheney Lateral Ditch|Canal|CO|08|Grand|049|400230N|1061810W|40.0416521|-106.3028059|||||2326|7631|Junction Butte|04/01/1990|
169351|Frosty Park|Flat|CO|08|Teller|119|384520N|1045737W|38.755543|-104.9602508|||||3111|10207|Manitou Springs|04/01/1990|
169352|Elk Park|Flat|CO|08|Teller|119|384545N|1050007W|38.762486|-105.001918|||||3362|11030|Pikes Peak|04/01/1990|
169353|Pueblo Reservoir|Reservoir|CO|08|Pueblo|101|381554N|1044639W|38.2649163|-104.7775932|||||1471|4826|Swallows|11/01/1992|07/13/2011
169354|Cache Creek Trail|Trail|CO|08|Garfield|045|392249N|1075212W|39.380257|-107.8700666|||||3233|10607|North Mamm Peak|05/01/1991|
169355|Brush Creek Trail|Trail|CO|08|Mesa|077|392137N|1074950W|39.3602573|-107.8306203|||||2801|9190|South Mamm Peak|05/01/1991|
169356|Erie Canal|Canal|CO|08|Mesa|077|391407N|1074602W|39.2352577|-107.7672834|||||2475|8120|Vega Reservoir|05/01/1991|
169357|Stewart Creek Trail|Trail|CO|08|Saguache|109|380046N|1065310W|38.0127739|-106.8861553|||||3435|11270|Stewart Peak|02/01/1991|
169358|Slumgullion Slide|Slope|CO|08|Hinsdale|053|375930N|1071514W|37.9916643|-107.2539433|||||3172|10407|Lake San Cristobal|02/01/1991|
169359|Slate Creek Trail|Trail|CO|08|Summit|117|394453N|1061338W|39.7480412|-106.227248|||||2831|9288|Willow Lakes|12/01/1991|
169360|Gothic Natural Area|Park|CO|08|Gunnison|051|385939N|1070148W|38.9941574|-107.0300461|||||3277|10751|Oh-be-joyful|11/01/1991|
169361|Luna Lake Trail|Trail|CO|08|Routt|107|403805N|1064504W|40.6346974|-106.7511569|||||3069|10069|Floyd Peak|11/01/1991|
169362|Swamp Park Trail|Trail|CO|08|Routt|107|403851N|1064845W|40.6474745|-106.8125472|||||2782|9127|Floyd Peak|11/01/1991|
169363|Heeney|Populated Place|CO|08|Summit|117|395221N|1061804W|39.8724857|-106.3011389|||||2452|8045|Mount Powell|11/01/1991|01/29/2011
169364|Never Summer Wilderness|Reserve|CO|08|Jackson|057|402409N|1055444W|40.4024837|-105.9122366|||||3411|11191|Mount Richthofen|11/01/1991|
169365|Hay Park Trail|Trail|CO|08|Grand|049|401435N|1061422W|40.24304|-106.2394718|||||2713|8901|Corral Peaks|11/01/1991|
169366|Mesa-Cortina Trail|Trail|CO|08|Summit|117|393756N|1060553W|39.6322086|-106.0980761|||||2895|9498|Dillon|11/01/1991|
169367|Hot Sulphur State Wildlife Area|Park|CO|08|Grand|049|400237N|1060721W|40.0435967|-106.1225219|||||2368|7769|Hot Sulphur Springs|11/01/1991|
169368|Williams Peak Trail|Trail|CO|08|Grand|049|395256N|1060818W|39.882208|-106.1383555|||||2675|8776|Battle Mountain|11/01/1991|
169369|Coulton Creek Trail|Trail|CO|08|Routt|107|404627N|1065042W|40.7741389|-106.8450469|||||2491|8172|Farwell Mountain|11/01/1991|
169370|McKinley Mountain|Summit|CO|08|Custer|027|381509N|1051721W|38.2525006|-105.2891612|||||2564|8412|Curley Peak|11/01/1991|
169371|Mineral-Stevens Trail|Trail|CO|08|Custer|027|381425N|1051118W|38.2402796|-105.1883253|||||2611|8566|Hardscrabble Mountain|11/01/1991|
169372|Fourmile Creek - Buffalo Meadows Trail|Trail|CO|08|Chaffee|015|385948N|1060910W|38.9966611|-106.1527964|||||3483|11427|Harvard Lakes|11/01/1991|
169373|Tumble Creek Trail|Trail|CO|08|Park|093|390228N|1060657W|39.0411048|-106.1158514|||||3091|10141|Jones Hill|11/01/1991|
169374|Rich Creek - Buffalo Meadows Trail|Trail|CO|08|Park|093|390348N|1061018W|39.0633265|-106.1716863|||||3436|11273|South Peak|11/01/1991|
169375|Cuchara Valley Ski Area|Locale|CO|08|Huerfano|055|372052N|1050733W|37.347791|-105.1258385|||||2848|9344|Trinchera Peak|11/01/1991|
169376|Limestone Ridge|Ridge|CO|08|Chaffee|015|385125N|1060045W|38.8569398|-106.0125141|||||3009|9872|Buena Vista East|11/01/1991|
169377|Crystal Reservoir|Reservoir|CO|08|Montrose|085|382852N|1073453W|38.481176|-107.5814186|||||2059|6755|Cimarron|11/01/1991|06/17/2011
