FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
450|Uinkaret Plateau|Plain|AZ|04|Mohave|015|362830N|1130632W|36.4749817|-113.1088231|||||1846|6056|Mount Trumbull NE|02/08/1980|
1167|Beaver Dam Wash|Stream|AZ|04|Mohave|015|365343N|1135516W|36.8952778|-113.9211111|373126N|1140439W|37.5238889|-114.0775|543|1781|Littlefield|02/08/1980|05/03/2011
1209|Begashinitani Canyon|Valley|AZ|04|Navajo|017|370007N|1103219W|37.0019411|-110.5387464|365716N|1102828W|36.9544418|-110.4745797|1448|4751|No Mans Mesa South|02/08/1980|
1393|Big Valley|Valley|AZ|04|Mohave|015|370023N|1133614W|37.0063699|-113.6038462|365526N|1133841W|36.9238693|-113.6446815|805|2641|Saint George|02/08/1980|
2634|Cedar Mountain|Summit|AZ|04|Coconino|005|370024N|1114146W|37.0066519|-111.6960002|||||1793|5882|Big Water|02/08/1980|
2664|Cedar Pockets Wash|Valley|AZ|04|Mohave|015|365726N|1134716W|36.9572007|-113.7877417|370251N|1134636W|37.0474785|-113.7766312|670|2198|Mountain Sheep Spring|02/08/1980|
3315|Cottonwood Canyon|Valley|AZ|04|Mohave|015|365842N|1125440W|36.9783177|-112.9110456|370332N|1125306W|37.0588729|-112.884935|1598|5243|Colorado City|02/08/1980|11/03/2010
3342|Cottonwood Creek|Stream|AZ|04|Mohave|015|365407N|1123348W|36.901931|-112.5632547|370545N|1123733W|37.095818|-112.6257621|1389|4557|Fredonia|02/08/1980|
3515|Coyote Valley|Valley|UT|49|Kane|025|370109N|1120127W|37.0191515|-112.02407|365105N|1120443W|36.8513765|-112.0785123|1486|4875|Pine Hollow Canyon|02/08/1980|12/10/2010
3525|Coyote Wash|Stream|UT|49|Kane|025|370111N|1120010W|37.019653|-112.002912|365105N|1120443W|36.8513765|-112.0785123|1440|4724|Pine Hollow Canyon|02/08/1980|06/28/2010
3642|Cummings Mesa|Summit|AZ|04|Coconino|005|365722N|1110330W|36.95617|-111.05826|||||1894|6214|West Canyon Creek|02/08/1980|05/03/2011
4214|Dutchman Draw|Valley|UT|49|Washington|053|370021N|1132909W|37.0058159|-113.4857855|364713N|1132913W|36.7869264|-113.486901|842|2762|Washington Dome|12/31/1979|
4282|East Fork Copper Canyon|Valley|UT|49|San Juan|037|370145N|1102728W|37.0291638|-110.4579123|365827N|1102442W|36.9741649|-110.4118007|1458|4783|Jacobs Monument|12/31/1979|
4366|Eightmile Gap|Gap|AZ|04|Coconino|005|365914N|1122306W|36.9872083|-112.3849189|||||1512|4961|Shinarump Point|02/08/1980|01/07/2011
4375|El Capitan Wash|Stream|AZ|04|Navajo|017|365747N|1101913W|36.9630552|-110.3204105|364840N|1101430W|36.8111107|-110.2417983|1531|5023|Boot Mesa|02/08/1980|
4613|First Canyon|Valley|AZ|04|Coconino|005|365956N|1105615W|36.9988844|-110.9373654|370030N|1105315W|37.0083291|-110.8873635|1581|5187|Chaiyahi Flat|02/08/1980|
4957|Garnet Ridge|Ridge|UT|49|San Juan|037|365958N|1094433W|36.9994444|-109.7425|||||1606|5269|Mexican Water|02/08/1980|12/10/2010
5958|Horse Canyon|Valley|AZ|04|Coconino|005|365956N|1105615W|36.9988844|-110.9373654|370207N|1105253W|37.0352733|-110.881253|1581|5187|Chaiyahi Flat|02/08/1980|
6030|Hosteen Tso Canyon|Valley|AZ|04|Apache|001|365959N|1094235W|36.9997245|-109.7098356|365620N|1094742W|36.9388912|-109.7951147|1415|4642|Mexican Water|02/08/1980|
6483|Johnson Wash|Stream|AZ|04|Coconino|005|365230N|1123400W|36.8749868|-112.566587|371359N|1122145W|37.2330377|-112.3624218|1379|4524|Clear Water Spring|02/08/1980|09/13/2006
6523|Judd Hollow|Valley|AZ|04|Coconino|005|365942N|1114655W|36.9949848|-111.7818365|370036N|1114131W|37.0099853|-111.6918334|1276|4186|Wrather Arch|02/08/1980|
6597|Kanab Creek|Stream|AZ|04|Mohave|015|362332N|1123748W|36.3922051|-112.6299121|372931N|1122250W|37.491927|-112.3804809|583|1913|Kanab Point|02/08/1980|
6598|Kanab Plateau|Plain|AZ|04|Mohave|015|362618N|1125256W|36.4383159|-112.8821454|||||1725|5659|Hancock Knolls|02/08/1980|
6823|Labyrinth Bay|Bay|AZ|04|Coconino|005|370002N|1111828W|37.0005457|-111.307653|||||1129|3704|Gunsight Butte|02/08/1980|
7249|Lizard Wash|Valley|UT|49|Washington|053|370055N|1133618W|37.0152587|-113.6049573|365539N|1133601W|36.927481|-113.6002354|790|2592|Saint George|02/08/1980|12/10/2010
7416|Lost Spring Gap|Gap|AZ|04|Coconino|005|365957N|1122856W|36.9991527|-112.4821456|||||1491|4892|Shinarump Point|02/08/1980|
7418|Lost Spring Wash|Stream|AZ|04|Coconino|005|365743N|1123149W|36.9619803|-112.5302553|370353N|1122648W|37.064595|-112.4466133|1427|4682|Fredonia|02/08/1980|11/30/2010
