FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
169560|Gibson Blair Ditch|Canal|CO|08|Moffat|081|405950N|1074524W|40.997187|-107.7567393|||||1887|6191|Thornburgh Gulch|10/13/1978|
169563|Roosevelt National Forest|Forest|CO|08|Larimer|069|403208N|1053507W|40.5356495|-105.5853658|||||3321|10896|Pingree Park|10/13/1978|01/15/2013
169581|Crow Creek|Stream|CO|08|Weld|123|402311N|1042935W|40.3863698|-104.4930115|411019N|1050451W|41.1719262|-105.080808|1389|4557|Barnesville|10/13/1978|
169609|Platte River Wilderness|Reserve|WY|56|Carbon|007|410519N|1062248W|41.0885827|-106.3800253|||||2714|8904|Elkhorn Point|07/01/1992|
169610|West Fork Cherokee Creek|Stream|WY|56|Sweetwater|037|410006N|1080030W|41.0016315|-108.008415|410304N|1080626W|41.0511111|-108.1072222|1872|6142|Rotten Springs|06/05/1979|
169611|Whiskey Draw|Valley|WY|56|Sweetwater|037|410050N|1084915W|41.0138889|-108.8208333|405945N|1085056W|40.9958333|-108.8488889|2153|7064|Scrivner Butte|10/13/1978|11/14/2007
169613|Birdie Gulch|Valley|WY|56|Sweetwater|037|410047N|1085046W|41.0130161|-108.8462259|405849N|1085522W|40.9802378|-108.9228947|2173|7129|Scrivner Butte|10/13/1978|12/13/2010
169614|Little Red Creek|Stream|WY|56|Sweetwater|037|410346N|1090554W|41.0627778|-109.0983333|405948N|1090015W|40.996626|-109.0042859|2108|6916|Red Creek Ranch|10/13/1978|11/14/2007
169678|Fisher Creek|Stream|CO|08|Moffat|081|410007N|1084709W|41.0019054|-108.7859465|405838N|1085140W|40.9771828|-108.8612263|2093|6867|Scrivner Butte|10/13/1978|
169698|Canyon Creek|Stream|CO|08|Moffat|081|405737N|1083952W|40.96024|-108.6645537|410019N|1090001W|41.0052371|-109.0003968|1961|6434|Sugarloaf Butte|10/13/1978|
169705|Shell Creek|Stream|CO|08|Moffat|081|405533N|1083731W|40.92582|-108.62526|411809N|1083926W|41.3025|-108.6572222|1929|6329|Sugarloaf Butte|06/05/1979|11/08/2010
